,feature,importance
0,yes_neighbour_count,0.0
1,charging_station_neighbour_count,0.0
2,car_wash_neighbour_count,0.0
3,car_rental_neighbour_count,0.0
4,cafe_neighbour_count,0.0
5,bicycle_repair_station_neighbour_count,0.0
6,bicycle_rental_neighbour_count,0.0
7,bicycle_parking_neighbour_count,0.0
8,bench_neighbour_count,0.0
9,bbq_neighbour_count,0.0
10,bar_neighbour_count,0.0
11,bank_neighbour_count,0.0
12,atm_neighbour_count,0.0
13,warehouse_neighbour_count,0.0
14,training_neighbour_count,0.0
15,vending_machine_neighbour_count,0.0
16,veterinary_neighbour_count,0.0
17,waste_basket_neighbour_count,0.0
18,sports_centre,0.0
19,waste_disposal_neighbour_count,0.0
20,weighbridge_neighbour_count,0.0
21,apartments_neighbour_count,0.0
22,barn_neighbour_count,0.0
23,bunker_neighbour_count,0.0
24,cabin_neighbour_count,0.0
25,chapel_neighbour_count,0.0
26,church_neighbour_count,0.0
27,college_y_neighbour_count,0.0
28,commercial_neighbour_count,0.0
29,construction_neighbour_count,0.0
30,childcare_neighbour_count,0.0
31,theatre_neighbour_count,0.0
32,cinema_neighbour_count,0.0
33,clock_neighbour_count,0.0
34,social_facility_neighbour_count,0.0
35,shower_neighbour_count,0.0
36,school_x_neighbour_count,0.0
37,restaurant_neighbour_count,0.0
38,recycling_neighbour_count,0.0
39,public_building_neighbour_count,0.0
40,pub_neighbour_count,0.0
41,post_office_neighbour_count,0.0
42,post_box_neighbour_count,0.0
43,police_neighbour_count,0.0
44,place_of_worship_neighbour_count,0.0
45,pharmacy_neighbour_count,0.0
46,parking_space_neighbour_count,0.0
47,parking_entrance_neighbour_count,0.0
48,parking_x_neighbour_count,0.0
49,nightclub_neighbour_count,0.0
50,marketplace_neighbour_count,0.0
51,library_neighbour_count,0.0
52,ice_cream_neighbour_count,0.0
53,hospital_x_neighbour_count,0.0
54,fuel_neighbour_count,0.0
55,fountain_neighbour_count,0.0
56,fast_food_neighbour_count,0.0
57,driving_school_neighbour_count,0.0
58,drinking_water_neighbour_count,0.0
59,doctors_neighbour_count,0.0
60,dentist_neighbour_count,0.0
61,community_centre_neighbour_count,0.0
62,college_x_neighbour_count,0.0
63,clinic_neighbour_count,0.0
64,dormitory_neighbour_count,0.0
65,detached_neighbour_count,0.0
66,greenhouse_neighbour_count,0.0
67,public_building,0.0
68,pub,0.0
69,post_box,0.0
70,service_neighbour_count,0.0
71,garage_neighbour_count,0.0
72,sports_centre_neighbour_count,0.0
73,marketplace,0.0
74,hospital_x,0.0
75,stadium_neighbour_count,0.0
76,school_y_neighbour_count,0.0
77,storage_tank_neighbour_count,0.0
78,driving_school,0.0
79,doctors,0.0
80,dentist,0.0
81,clock,0.0
82,car_wash,0.0
83,car_rental,0.0
84,bicycle_repair_station,0.0
85,bicycle_rental,0.0
86,toilets_y_neighbour_count,0.0
87,terrace_neighbour_count,0.0
88,ruins_neighbour_count,0.0
89,shed_neighbour_count,0.0
90,social_facility,0.0
91,hospital_y_neighbour_count,0.0
92,hotel_neighbour_count,0.0
93,house_neighbour_count,0.0
94,hut_neighbour_count,0.0
95,industrial_neighbour_count,0.0
96,office_neighbour_count,0.0
97,shower,0.0
98,residential_neighbour_count,0.0
99,retail_neighbour_count,0.0
100,weighbridge,0.0
101,waste_disposal,0.0
102,parking_y_neighbour_count,0.0
103,toilets_x_neighbour_count,0.0
104,waste_basket,0.0
105,roof_neighbour_count,0.0
106,vending_machine,0.0
107,training,0.0
108,recycling,4.201561e-08
109,bank,6.036219e-08
110,ice_cream,5.9825834e-07
111,college_x,6.350438e-07
112,charging_station,1.029202e-06
113,community_centre,2.3133653e-06
114,storage_tank,2.3796968e-06
115,bar,2.6265247e-06
116,cafe,4.8552265e-06
117,ruins,5.127118e-06
118,theatre,5.2991086e-06
119,bbq,5.4799357e-06
120,bicycle_parking,5.8134406e-06
121,police,5.849319e-06
122,nightclub,5.933584e-06
123,cinema,6.1162355e-06
124,veterinary,6.6267658e-06
125,drinking_water,8.612074e-06
126,post_office,8.624464e-06
127,chapel,8.713425e-06
128,clinic,1.0571509e-05
129,parking_space,1.1093577e-05
130,parking_x,1.3413602e-05
131,childcare,1.4169717e-05
132,office,1.4709254e-05
133,library,1.477439e-05
134,atm,1.7201759e-05
135,parking_entrance,1.883626e-05
136,barn,2.0221087e-05
137,greenhouse,2.0892696e-05
138,fast_food,2.5358886e-05
139,bunker,3.179753e-05
140,cabin,3.309646e-05
141,toilets_x,3.65274e-05
142,pharmacy,4.1490835e-05
143,bench,4.1546675e-05
144,school_x,4.2055282e-05
145,fuel,6.248288e-05
146,place_of_worship,6.967293e-05
147,restaurant,8.3588464e-05
148,fountain,0.00010105353
149,toilets_y,0.00018721959
150,hut,0.00067967345
151,warehouse,0.0008117543
152,terrace,0.0010888637
153,dormitory,0.001520422
154,construction,0.0017880277
155,industrial,0.0025623264
156,hospital_y,0.002695594
157,detached,0.004699792
158,service,0.009236635
159,college_y,0.00963228
160,stadium,0.010267688
161,residential,0.0113278935
162,garage,0.014684099
163,yes,0.01678905
164,shed,0.017661275
165,house,0.018854508
166,commercial,0.03272101
167,apartments,0.036820438
168,church,0.037379872
169,school_y,0.038240124
170,parking_y,0.11202545
171,retail,0.12913038
172,hotel,0.14841737
173,roof,0.33996692
